ID,Name,Gender,Age,Grade
1,John Doe,Male,18,12
2,Jane Smith,Female,17,11
3,Bob Johnson,Male,19,12
4,Alice Williams,Female,18,11
5,Michael Brown,Male,17,10
6,Emily Davis,Female,18,12
7,David Miller,Male,17,11
8,Sophia Taylor,Female,18,10
9,Matthew Anderson,Male,19,12
10,Olivia Jones,Female,17,11
11,Christopher Wilson,Male,18,10
12,Ava Martinez,Female,19,12
13,Ethan Davis,Male,17,11
14,Grace Jackson,Female,18,10
15,Liam White,Male,19,12
16,Chloe Anderson,Female,17,11
17,Mason Brown,Male,18,10
18,Zoe Wilson,Female,19,12
19,Noah Smith,Male,17,11
20,Ella Davis,Female,18,10
21,Logan Taylor,Male,19,12
22,Aria Miller,Female,17
